kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
poly;0.70;0.00;4;0;0.9819;0.9880;0.9850;0.9872
poly;0.70;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.70;0.00;4;2;0.9836;0.9751;0.9793;0.9873
poly;0.90;0.00;4;0;0.9820;0.9879;0.9850;0.9872
poly;0.90;0.00;4;1;0.9999;1.0000;0.9999;1.0000
poly;0.90;0.00;4;2;0.9835;0.9752;0.9793;0.9873
poly;0.70;0.00;5;0;0.9809;0.9886;0.9847;0.9870
poly;0.70;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.70;0.00;5;2;0.9847;0.9737;0.9791;0.9871
poly;0.90;0.00;5;0;0.9813;0.9888;0.9851;0.9873
poly;0.90;0.00;5;1;0.9996;1.0000;0.9998;0.9999
poly;0.90;0.00;5;2;0.9849;0.9743;0.9796;0.9874
poly;0.80;0.00;1;0;0.9829;0.9872;0.9850;0.9873
poly;0.80;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;0.80;0.00;1;2;0.9827;0.9764;0.9795;0.9874
poly;1.00;0.00;1;0;0.9829;0.9873;0.9851;0.9874
poly;1.00;0.00;1;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;0.00;1;2;0.9828;0.9766;0.9797;0.9874
rbf;0.10;0.00;2;0;0.9839;0.9860;0.9849;0.9872
rbf;0.10;0.00;2;1;0.9996;1.0000;0.9998;0.9999
rbf;0.10;0.00;2;2;0.9811;0.9779;0.9795;0.9873
poly;0.80;0.00;2;0;0.9821;0.9893;0.9857;0.9879
poly;0.80;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;0.80;0.00;2;2;0.9855;0.9754;0.9804;0.9879
poly;1.00;0.00;2;0;0.9822;0.9893;0.9858;0.9879
poly;1.00;0.00;2;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;0.00;2;2;0.9855;0.9755;0.9805;0.9880
poly;0.80;0.00;3;0;0.9827;0.9886;0.9857;0.9878
poly;0.80;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;0.80;0.00;3;2;0.9846;0.9762;0.9804;0.9879
poly;1.00;0.00;3;0;0.9825;0.9887;0.9856;0.9878
poly;1.00;0.00;3;1;0.9997;1.0000;0.9999;0.9999
poly;1.00;0.00;3;2;0.9847;0.9760;0.9803;0.9879
