kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;1.00;0.00;4;0;0.9849;0.9857;0.9853;0.9876
rbf;1.00;0.00;4;1;1.0000;1.0000;1.0000;1.0000
rbf;1.00;0.00;4;2;0.9804;0.9794;0.9799;0.9876
rbf;1.00;0.00;5;0;0.9841;0.9877;0.9859;0.9880
rbf;1.00;0.00;5;1;0.9999;1.0000;0.9999;1.0000
rbf;1.00;0.00;5;2;0.9833;0.9781;0.9807;0.9881
rbf;10.00;0.00;1;0;0.9869;0.9865;0.9867;0.9888
rbf;10.00;0.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.00;1;2;0.9816;0.9822;0.9819;0.9888
poly;10.00;0.00;1;0;0.9833;0.9887;0.9860;0.9881
poly;10.00;0.00;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;0.00;1;2;0.9845;0.9771;0.9807;0.9881
rbf;10.00;0.00;2;0;0.9865;0.9857;0.9861;0.9882
rbf;10.00;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.00;2;2;0.9805;0.9815;0.9810;0.9882
rbf;10.00;0.00;3;0;0.9861;0.9860;0.9861;0.9882
rbf;10.00;0.00;3;1;0.9999;1.0000;0.9999;1.0000
rbf;10.00;0.00;3;2;0.9809;0.9811;0.9810;0.9882
poly;10.00;0.00;2;0;0.9828;0.9877;0.9853;0.9875
poly;10.00;0.00;2;1;0.9992;1.0000;0.9996;0.9998
poly;10.00;0.00;2;2;0.9839;0.9763;0.9801;0.9877
rbf;10.00;0.00;4;0;0.9855;0.9876;0.9865;0.9886
rbf;10.00;0.00;4;1;0.9999;1.0000;0.9999;1.0000
rbf;10.00;0.00;4;2;0.9831;0.9801;0.9816;0.9886
poly;10.00;0.00;3;0;0.9815;0.9884;0.9849;0.9872
poly;10.00;0.00;3;1;0.9996;0.9997;0.9996;0.9998
poly;10.00;0.00;3;2;0.9843;0.9747;0.9795;0.9874
rbf;10.00;0.00;5;0;0.9863;0.9852;0.9857;0.9879
rbf;10.00;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;0.00;5;2;0.9798;0.9813;0.9805;0.9879
poly;10.00;0.00;4;0;0.9814;0.9894;0.9854;0.9876
poly;10.00;0.00;4;1;0.9996;1.0000;0.9998;0.9999
poly;10.00;0.00;4;2;0.9858;0.9744;0.9800;0.9877
poly;10.00;0.00;5;0;0.9837;0.9874;0.9856;0.9877
poly;10.00;0.00;5;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;0.00;5;2;0.9827;0.9777;0.9802;0.9877
rbf;100.00;0.00;1;0;0.9852;0.9888;0.9870;0.9890
rbf;100.00;0.00;1;1;1.0000;1.0000;1.0000;1.0000
rbf;100.00;0.00;1;2;0.9846;0.9797;0.9822;0.9890
rbf;100.00;0.00;2;0;0.9854;0.9872;0.9863;0.9884
rbf;100.00;0.00;2;1;1.0000;1.0000;1.0000;1.0000
rbf;100.00;0.00;2;2;0.9825;0.9800;0.9812;0.9884
rbf;100.00;0.00;3;0;0.9859;0.9838;0.9848;0.9871
rbf;100.00;0.00;3;1;1.0000;1.0000;1.0000;1.0000
rbf;100.00;0.00;3;2;0.9778;0.9807;0.9793;0.9871
rbf;100.00;0.00;4;0;0.9859;0.9854;0.9856;0.9878
rbf;100.00;0.00;4;1;0.9999;1.0000;0.9999;1.0000
rbf;100.00;0.00;4;2;0.9801;0.9807;0.9804;0.9879
poly;100.00;0.00;1;0;0.9814;0.9906;0.9860;0.9881
poly;100.00;0.00;1;1;0.9993;0.9999;0.9996;0.9998
poly;100.00;0.00;1;2;0.9876;0.9745;0.9810;0.9883
rbf;100.00;0.00;5;0;0.9871;0.9864;0.9868;0.9888
rbf;100.00;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;100.00;0.00;5;2;0.9814;0.9824;0.9819;0.9888
poly;100.00;0.00;2;0;0.9802;0.9899;0.9850;0.9873
poly;100.00;0.00;2;1;1.0000;1.0000;1.0000;1.0000
poly;100.00;0.00;2;2;0.9860;0.9727;0.9793;0.9873
poly;100.00;0.00;3;0;0.9824;0.9887;0.9856;0.9877
poly;100.00;0.00;3;1;1.0000;0.9999;0.9999;1.0000
poly;100.00;0.00;3;2;0.9844;0.9760;0.9802;0.9878
poly;100.00;0.00;4;0;0.9820;0.9873;0.9846;0.9870
poly;100.00;0.00;4;1;0.9992;1.0000;0.9996;0.9998
poly;100.00;0.00;4;2;0.9832;0.9752;0.9792;0.9872
poly;100.00;0.00;5;0;0.9835;0.9894;0.9865;0.9885
poly;100.00;0.00;5;1;0.9997;1.0000;0.9999;0.9999
poly;100.00;0.00;5;2;0.9857;0.9773;0.9815;0.9886
