kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;10.00;1;1;0;0.9844;0.9848;0.9846;0.9869
rbf;10.00;1;1;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;1;1;2;0.9793;0.9787;0.9790;0.9870
rbf;10.00;1;2;0;0.9845;0.9841;0.9843;0.9867
rbf;10.00;1;2;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;1;2;2;0.9785;0.9788;0.9787;0.9868
rbf;10.00;1;3;0;0.9846;0.9867;0.9856;0.9878
rbf;10.00;1;3;1;0.9996;1.0000;0.9998;0.9999
rbf;10.00;1;3;2;0.9821;0.9788;0.9805;0.9879
rbf;0.10;1;1;0;0.9806;0.9817;0.9812;0.9840
rbf;0.10;1;1;1;0.9994;1.0000;0.9997;0.9998
rbf;0.10;1;1;2;0.9753;0.9733;0.9743;0.9841
rbf;10.00;1;4;0;0.9833;0.9863;0.9848;0.9871
rbf;10.00;1;4;1;0.9998;1.0000;0.9999;0.9999
rbf;10.00;1;4;2;0.9814;0.9771;0.9792;0.9872
rbf;10.00;1;5;0;0.9840;0.9887;0.9863;0.9884
rbf;10.00;1;5;1;1.0000;1.0000;1.0000;1.0000
rbf;10.00;1;5;2;0.9845;0.9780;0.9812;0.9884
rbf;0.10;1;2;0;0.9787;0.9800;0.9793;0.9825
rbf;0.10;1;2;1;0.9996;1.0000;0.9998;0.9999
rbf;0.10;1;2;2;0.9729;0.9709;0.9719;0.9826
rbf;0.10;1;3;0;0.9806;0.9817;0.9812;0.9840
rbf;0.10;1;3;1;0.9988;1.0000;0.9994;0.9997
rbf;0.10;1;3;2;0.9758;0.9733;0.9746;0.9843
rbf;0.10;1;4;0;0.9773;0.9816;0.9794;0.9825
rbf;0.10;1;4;1;0.9990;1.0000;0.9995;0.9997
rbf;0.10;1;4;2;0.9754;0.9686;0.9720;0.9827
rbf;0.10;1;5;0;0.9791;0.9848;0.9819;0.9846
rbf;0.10;1;5;1;0.9990;1.0000;0.9995;0.9997
rbf;0.10;1;5;2;0.9797;0.9710;0.9754;0.9848
