kernel;c_value;gamma;iteration;class;precision;recall;f1;accuracy
rbf;1.30;0.00;5;2;0.9945;0.9829;0.9887;0.9925
rbf;1.20;0.00;5;0;0.9835;0.9946;0.9890;0.9926
rbf;1.20;0.00;5;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;5;2;0.9945;0.9833;0.9889;0.9926
rbf;1.30;0.00;6;0;0.9839;0.9925;0.9882;0.9921
rbf;1.30;0.00;6;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;6;2;0.9924;0.9838;0.9881;0.9921
rbf;1.20;0.00;6;0;0.9839;0.9921;0.9880;0.9919
rbf;1.20;0.00;6;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;6;2;0.9920;0.9838;0.9879;0.9919
poly;1.20;0.00;3;0;0.9884;0.9904;0.9894;0.9929
poly;1.20;0.00;3;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;3;2;0.9904;0.9883;0.9894;0.9929
poly;1.30;0.00;3;0;0.9879;0.9904;0.9892;0.9928
poly;1.30;0.00;3;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;3;2;0.9904;0.9879;0.9892;0.9928
rbf;1.30;0.00;7;0;0.9901;0.9967;0.9934;0.9956
rbf;1.30;0.00;7;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;7;2;0.9966;0.9900;0.9933;0.9956
rbf;1.20;0.00;7;0;0.9901;0.9962;0.9931;0.9954
rbf;1.20;0.00;7;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;7;2;0.9962;0.9900;0.9931;0.9954
rbf;1.30;0.00;8;0;0.9909;0.9933;0.9921;0.9947
rbf;1.30;0.00;8;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;8;2;0.9933;0.9908;0.9921;0.9947
rbf;1.20;0.00;8;0;0.9913;0.9925;0.9919;0.9946
rbf;1.20;0.00;8;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;8;2;0.9925;0.9912;0.9919;0.9946
poly;1.20;0.00;4;0;0.9862;0.9838;0.9850;0.9900
poly;1.20;0.00;4;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;4;2;0.9838;0.9862;0.9850;0.9900
poly;1.30;0.00;4;0;0.9866;0.9838;0.9852;0.9901
poly;1.30;0.00;4;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;4;2;0.9838;0.9867;0.9852;0.9901
rbf;1.30;0.00;9;0;0.9880;0.9929;0.9904;0.9936
rbf;1.30;0.00;9;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;9;2;0.9929;0.9879;0.9904;0.9936
rbf;1.20;0.00;9;0;0.9876;0.9929;0.9902;0.9935
rbf;1.20;0.00;9;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;9;2;0.9929;0.9875;0.9902;0.9935
rbf;1.30;0.00;10;0;0.9884;0.9929;0.9906;0.9938
rbf;1.30;0.00;10;1;1.0000;1.0000;1.0000;1.0000
rbf;1.30;0.00;10;2;0.9929;0.9883;0.9906;0.9938
rbf;1.20;0.00;10;0;0.9884;0.9921;0.9902;0.9935
rbf;1.20;0.00;10;1;1.0000;1.0000;1.0000;1.0000
rbf;1.20;0.00;10;2;0.9921;0.9883;0.9902;0.9935
poly;1.20;0.00;5;0;0.9774;0.9892;0.9832;0.9888
poly;1.20;0.00;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;5;2;0.9890;0.9771;0.9830;0.9888
poly;1.30;0.00;5;0;0.9778;0.9896;0.9836;0.9890
poly;1.30;0.00;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;5;2;0.9895;0.9775;0.9834;0.9890
poly;1.20;0.00;6;0;0.9789;0.9838;0.9813;0.9875
poly;1.20;0.00;6;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;6;2;0.9837;0.9788;0.9812;0.9875
poly;1.30;0.00;6;0;0.9789;0.9838;0.9813;0.9875
poly;1.30;0.00;6;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;6;2;0.9837;0.9788;0.9812;0.9875
poly;1.20;0.00;7;0;0.9855;0.9908;0.9882;0.9921
poly;1.20;0.00;7;1;1.0000;1.0000;1.0000;1.0000
poly;1.20;0.00;7;2;0.9908;0.9854;0.9881;0.9921
poly;1.30;0.00;7;0;0.9855;0.9908;0.9882;0.9921
poly;1.30;0.00;7;1;1.0000;1.0000;1.0000;1.0000
poly;1.30;0.00;7;2;0.9908;0.9854;0.9881;0.9921
poly;1.20;0.00;8;0;0.9874;0.9825;0.9850;0.9900
poly;1.20;0.00;8;1;1.0000;1.0000;1.0000;1.0000
