kernel;c_value;gamma;degree;iteration;class;precision;recall;f1;accuracy
poly;1.00;scale;5;1;0;0.9746;0.9921;0.9833;0.9857
poly;1.00;scale;5;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;1;2;0.9890;0.9646;0.9766;0.9857
poly;1.00;scale;5;2;0;0.9722;0.9892;0.9806;0.9835
poly;1.00;scale;5;2;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;5;2;2;0.9851;0.9613;0.9731;0.9835
poly;1.00;scale;5;3;0;0.9694;0.9899;0.9795;0.9825
poly;1.00;scale;5;3;1;1.0000;0.9998;0.9999;0.9999
poly;1.00;scale;5;3;2;0.9857;0.9575;0.9714;0.9825
poly;1.00;scale;5;4;0;0.9713;0.9909;0.9810;0.9837
poly;1.00;scale;5;4;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;4;2;0.9872;0.9599;0.9734;0.9837
poly;1.00;scale;5;5;0;0.9714;0.9900;0.9806;0.9834
poly;1.00;scale;5;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;5;5;2;0.9859;0.9601;0.9728;0.9834
poly;1.00;scale;6;1;0;0.9645;0.9934;0.9788;0.9817
poly;1.00;scale;6;1;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;6;1;2;0.9906;0.9500;0.9699;0.9817
poly;1.00;scale;6;2;0;0.9612;0.9919;0.9763;0.9796
poly;1.00;scale;6;2;1;0.9998;1.0000;0.9999;0.9999
poly;1.00;scale;6;2;2;0.9886;0.9452;0.9664;0.9796
poly;1.00;scale;6;3;0;0.9574;0.9923;0.9745;0.9780
poly;1.00;scale;6;3;1;1.0000;0.9998;0.9999;0.9999
poly;1.00;scale;6;3;2;0.9889;0.9398;0.9637;0.9781
poly;1.00;scale;6;4;0;0.9601;0.9944;0.9769;0.9801
poly;1.00;scale;6;4;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;6;4;2;0.9920;0.9435;0.9671;0.9801
poly;1.00;scale;6;5;0;0.9594;0.9926;0.9757;0.9791
poly;1.00;scale;6;5;1;1.0000;1.0000;1.0000;1.0000
poly;1.00;scale;6;5;2;0.9894;0.9426;0.9654;0.9791
poly;10.00;scale;2;1;0;0.9867;0.9892;0.9880;0.9898
poly;10.00;scale;2;1;1;0.9998;1.0000;0.9999;0.9999
poly;10.00;scale;2;1;2;0.9854;0.9818;0.9836;0.9898
poly;10.00;scale;3;1;0;0.9852;0.9901;0.9877;0.9895
poly;10.00;scale;3;1;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;3;1;2;0.9864;0.9797;0.9830;0.9895
poly;10.00;scale;2;2;0;0.9846;0.9905;0.9875;0.9894
poly;10.00;scale;2;2;1;0.9990;1.0000;0.9995;0.9997
poly;10.00;scale;2;2;2;0.9877;0.9788;0.9833;0.9897
poly;10.00;scale;3;2;0;0.9824;0.9910;0.9867;0.9887
poly;10.00;scale;3;2;1;0.9996;1.0000;0.9998;0.9999
poly;10.00;scale;3;2;2;0.9879;0.9757;0.9818;0.9888
poly;10.00;scale;2;3;0;0.9837;0.9886;0.9861;0.9882
poly;10.00;scale;2;3;1;1.0000;1.0000;1.0000;1.0000
poly;10.00;scale;2;3;2;0.9843;0.9776;0.9809;0.9882
poly;10.00;scale;4;1;0;0.9818;0.9912;0.9865;0.9885
poly;10.00;scale;4;1;1;1.0000;0.9998;0.9999;0.9999
poly;10.00;scale;4;1;2;0.9879;0.9750;0.9814;0.9886
poly;10.00;scale;2;4;0;0.9824;0.9854;0.9839;0.9864
poly;10.00;scale;2;4;1;0.9996;1.0000;0.9998;0.9999
