kernel;c_value;gamma;degree;coef0;precision_mean;precision_std;recall_mean;recall_std;f1_mean;f1_std;accuracy_mean;accuracy_std;data_count
poly;0.1;1;5;100;0.9886933333333333;0.008372443461965556;0.9882266666666666;0.009757302515600941;0.9884533333333334;0.008768439074859549;0.9917333333333332;0.006064376857243189;15
poly;0.1;1;6;1;0.98788;0.008867774724891737;0.9873466666666667;0.010468446921696687;0.9876199999999999;0.009369875742429638;0.99114;0.0064746538793315385;15
poly;0.1;1;6;10;0.9893533333333334;0.007939851264050108;0.9890399999999999;0.008880781818865141;0.9891933333333333;0.008227346965774455;0.99226;0.005686550548694435;15
poly;0.1;1;6;100;0.98856;0.008575946428404105;0.9881266666666666;0.009905371318248552;0.9883466666666667;0.008886094005054565;0.9916666666666667;0.006141157018332094;15
poly;0.1;10;1;0;0.9876666666666666;0.009239176421758637;0.98608;0.013561984684087683;0.98684;0.009488097807253034;0.9906266666666668;0.006620796959653163;15
poly;0.1;10;1;1;0.9873533333333333;0.009585321118897422;0.9857533333333334;0.014004380267140234;0.9864999999999999;0.009804809315549482;0.9903866666666666;0.006816352886013672;15
poly;0.1;10;1;10;0.9873466666666667;0.009594184746625475;0.98574;0.0140244072958539;0.9864866666666666;0.009815721112194515;0.99038;0.006822253502849558;15
poly;0.1;10;1;100;0.9873533333333333;0.009585321118897422;0.9857533333333334;0.014004380267140234;0.9864999999999999;0.009804809315549482;0.9903866666666666;0.006816352886013672;15
poly;0.1;10;2;1;0.9884333333333333;0.008252070447267564;0.9881133333333333;0.009599618047957252;0.9882666666666666;0.008746318953599577;0.9916133333333333;0.006064989302389182;15
poly;0.1;10;2;10;0.98878;0.008294335416415223;0.9885333333333333;0.00918233293315148;0.9886533333333334;0.008608705449939013;0.9918733333333333;0.005951646430870647;15
poly;0.1;10;2;100;0.9889066666666667;0.008195335490968255;0.9886133333333333;0.009183826363050776;0.9887666666666667;0.008549825952001811;0.99198;0.005898329061207576;15
poly;0.1;10;3;1;0.9887866666666666;0.008293617741257139;0.9884799999999999;0.009297403631429274;0.9886333333333333;0.008629820943902003;0.9918733333333333;0.005960760577868129;15
poly;0.1;10;3;10;0.9889333333333333;0.008312956038331862;0.9888133333333333;0.008783984343814657;0.9888600000000001;0.008445184595800312;0.99202;0.005845291145137993;15
poly;0.1;10;3;100;0.9890933333333333;0.008188970514981608;0.9888399999999999;0.00897224291117572;0.9889733333333334;0.008416520036440805;0.9921133333333334;0.005806876055488826;15
poly;0.1;10;4;1;0.9887933333333334;0.008331134948121387;0.9885266666666667;0.009172199196225419;0.98866;0.008621385370941599;0.9918733333333333;0.005955125843298677;15
